CODICE_INTERNO;ISIN;DESCRIZIONE;CODICE_ENTITA;DESCRIZIONE_ENTITA;CODICE_GRUPPO;DESCRIZIONE_GRUPPO;CODICE_SOTTOGRUPPO;DESCRIZIONE_SOTTOGRUPPO;CODICE_FAMIGLIA_PRODOTTO;DESCRIZIONE_FAMIGLIA_PRODOTTO;CODICE_LIVELLO_COMPLESSITA;DESCR_LIVELLO_COMPLESSITA;DATA_EMISSIONE;DATA_SCADENZA;ILLIQUIDO;OFFERTA_ATTIVA;OMD_PUNTUALE;OMD_CLASSE;COSTO_STRUMENTO;HP_PUNTUALE;HP_CLASSE;TIPO_EMITTENTE;NOME_EMITTENTE;CODICE_EMITTENTE;DIVISA;QUOTATO;FLAG_TITOLO_MLR;PERIMETRO_PTF;STRUMENTO_MIFID;FIDT;CODICE_TIPO;DATA_INIZIO_EMISSIONE;DATA_FINE_EMISSIONE;LIQUIDABILITA;DS_MERCATO;IN_POSIZIONE;CODICE_PARENT_COMPANY;DESCRIZIONE_PARENT_COMPANY;FLAG_CONTROLLO_EMITTENTE;QUALITA_PRODOTTO;TIPOLOGIA_POLIZZA;PRODOTTO_CEDOLA;CODRAGGRUPPAMENTO;IS_ESG
AF 00000001563;BMPS00170844;FTSE MIB GENERIC FUT;;;;;;;RC00050;DERIV,WAR, C.W.;7;NM;;20990930;0;0;;;0;;;ALTRO;CASSA DI COMPENSAZIONE E GARANZIA S.P.A.;0001158;EUR;1;0;1;1;0;;;;11;Euronext Milan;0;00001422780;EURONEXT N.V.;0;;;0;;1
AF 00000007418;BMPS00367240;OBBL ITL/ITL;1;OBBLIGAZIONI;1;OBBL.ITALIANE;1;ORDINARIE;RC00020;OBBL E TIT.STAT;7;NM;;20991231;1;0;;;0;;;;;;;0;0;0;1;0;;;;11;;0;;;1;;;;231;1
AF 00000007420;BMPS00367240;OBBL ITL/ITL;1;OBBLIGAZIONI;1;OBBL.ITALIANE;1;ORDINARIE;RC00020;OBBL E TIT.STAT;7;NM;;20991231;1;0;;;0;;;;;;;0;0;0;1;0;;;;11;;0;;;1;;;;231;1
AF 00000010000;IT0004991763;BANCA D ITALIA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;BANCA CENTRALE;BANCA D ITALIA;0000155;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000180977;TESORO DELLO STATO;0;;;0;214;1
AF 00000024800;BMPS00135407;ECU SIM ORD;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;ECU SOCIETA  DI INTERMEDIAZIONE MOBILIAR;0007639;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000007639;ECU SOCIETA  DI INTERMEDIAZIONE MOBILIAR;1;;;;214;1
AF 00000026090;IT0000026093;**OO.PP    7,00%;1;OBBLIGAZIONI;;;;;RC00030;OBBL STRUTT;7;NM;19730701;20501231;1;0;;;0;27.93;4;ISTITUZIONE CREDITIZIA;DEXIA CREDIOP SOCIETA  PER AZIONI IN BRE;0009202;ITL;1;0;1;1;0;;;;11;MERCATO BOND BROKERAGE;0;00000191053;KINGDOM OF BELGIUM;1;;;1;231;1
AF 00000033370;IT0003128367;ENEL 3 DIP.FIN.;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ALTRO;ENEL - SPA;0000208;EUR;0;0;1;1;0;;;;0.035;NON QUOTATO;0;00000918049;ENEL - SPA;1;;;0;214;1
AF 00000033420;IT0003128367;ENEL4 DIP.FINANZIATO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ALTRO;ENEL - SPA;0000208;EUR;0;0;1;1;0;;;;0.035;NON QUOTATO;0;00000918049;ENEL - SPA;1;;;0;214;1
AF 00000033480;IT0003856405;FINMECCANICA RAG FIN;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ALTRO;LEONARDO - SOCIETA  PER AZIONI;0000055;EUR;1;0;1;1;0;;;;0.067;Euronext Milan;0;00000128107;LEONARDO - SOCIETA  PER AZIONI;1;;;0;214;1
AF 00000033520;IT0003128367;ENEL SOVV G.1/1/2009;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ALTRO;ENEL - SPA;0000208;EUR;0;0;1;1;0;;;;0.035;NON QUOTATO;0;00000918049;ENEL - SPA;1;;;0;214;1
AF 00000035070;IT0000351178;DIR CIR GRATUITI;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;19981218;20991229;1;0;;;0;76.92;4;ALTRO;CEMENTIR HOLDING N.V.;0000577;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000000577;CEMENTIR HOLDING N.V.;1;;;;;1
AF 00000035247;IT0000352473;BONIFICHE FERRAR.B.ASS;2;AZIONI E DIRITTI;3;DIRITTI ITALIA;1;ASSEGNAZ.AZIONI ORD.;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;;;;;;;0;0;0;1;0;;;;11;;0;;;1;;;;;1
AF 00000035781;IT0000357811;AZIONE ITL / EUR;2;AZIONI E DIRITTI;1;AZIONI ITALIANE;1;ORDINARIE;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;;;;;;;0;0;0;1;0;;;;11;;0;;;1;;;;214;1
AF 00000045981;USU459811043;INT.MAN.GATEWAY INC;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;EMITTENTE TITOLI ESTERI STATI UNITI DAM;0010174;USD;0;0;1;1;0;;;;11;STATI UNITI DAMERICA FUORI MERCATO;0;09999999065;EMITTENTE TITOLI ESTERI STATI UNITI D'AMERICA;1;;;0;;1
AF 00000045984;US45984P2083;INT. M.GATEWAY INC A;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;EMITTENTE TITOLI ESTERI STATI UNITI DAM;0010174;USD;0;0;1;1;0;;;;11;STATI UNITI DAMERICA FUORI MERCATO;0;09999999065;EMITTENTE TITOLI ESTERI STATI UNITI D'AMERICA;1;;;0;;1
AF 00000053160;ES0113900J37;BCO SANTANDER HISPAN;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;BANCO SANTANDER SA;0001237;EUR;1;0;1;1;0;;;;11;GLOBAL EQUITY MARKET (IT 30);0;00000100158;BANCO SANTANDER SA;1;;;0;;1
AF 00000053200;ES0113211835;BCO BILBAO VIZC. MT;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;BANCO BILBAO VIZCAYA ARGENTARIA SA;0009188;EUR;1;0;1;1;0;;;;11;GLOBAL EQUITY MARKET (IT 30);0;00000100155;BANCO BILBAO VIZCAYA ARGENTARIA SA;1;;;0;;1
AF 00000060030;IT0000600301;TRASPORTI FERR.CASEN;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;TRASPORTI FERROVIARI CASENTINO S.R.L. IN;0013934;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00078448735;TRASPORTI FERROVIARI CASENTINO S.R.L. IN LIQUIDAZIONE IN SIGLA T.F.C. S.R.L.;1;;;0;214;1
AF 00000060370;IT0000060373;INDUSTRIA ZUCCHERI;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;SOCIETA  ITALIANA PER L  INDUSTRIA DEGLI;0000860;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010068;SOCIETA  ITALIANA PER L  INDUSTRIA DEGLI ZUCCHERI - SOCIETA  PER AZIONI IN LIQUI;1;;;0;214;1
AF 00000060880;IT0000060886;FNM;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ALTRO;FNM S.P.A.;0001053;EUR;1;0;1;1;0;;;;1.129;Euronext Milan;0;00007603777;REGIONE LOMBARDIA;1;;;0;214;1
AF 00000061260;IT0000222379;EVAM;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;ENTE VALORIZZAZIONE ACQUE MINERALI (E.V.;0006284;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010413;ENTE VALORIZZAZIONE ACQUE MINERALI (E.V.A.M. S.P.A.) - SORGENTI E TERME DEL MONT;1;;;0;214;1
AF 00000061340;BMPS00014244;SERIO CARLO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;EMITTENTE TITOLI ITALIA;0006204;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00007263738;LKQ CORP;1;;;0;214;1
AF 00000061480;IT0000222767;FI PARCHEGGI SPA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;FIRENZE PARCHEGGI S.P.A.;0001072;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00021281504;FIRENZE PARCHEGGI S.P.A.;1;;;0;214;1
AF 00000061590;BMPS00000076;INVIM;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;INVIM INVESTIMENTI IMMOBILIARI SOCIETA P;0005490;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010733;INVIM INVESTIMENTI IMMOBILIARI SOCIETA PER AZIONI;1;;;0;214;1
AF 00000061630;IT0000719986;TERME FOGLIANO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;TERME DI FOGLIANO S.P.A. - IN LIQUIDAZIO;0006186;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010745;TERME DI FOGLIANO S.P.A. - IN LIQUIDAZIONE;1;;;0;214;1
AF 00000061700;IT0000222577;AREZZO FIERE CONGRES;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;AREZZO FIERE E CONGRESSI - S.R.L.;0002774;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000011300;AREZZO FIERE E CONGRESSI - S.R.L.;1;;;0;214;1
AF 00000061780;BMPS00096436;COMMERFIN SCPA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;COMMERFIN SOCIETA CONSORTILE PER AZIONI;0015096;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00080841135;COMMERFIN SOCIETA' CONSORTILE PER AZIONI;1;;;0;214;1
AF 00000061800;BMPS00150225;CONS.PATTICHIARI;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;CONSORZIO PATTICHIARI;0018524;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000412147;CONSORZIO PATTICHIARI;1;;;0;214;1
AF 00000062070;IT0000062072;GENERALI ASS 2000;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;PRIVATO - ENTE FINANZIARIO;ASSICURAZIONI GENERALI SOCIETA  PER AZIO;0002989;EUR;1;0;1;1;0;;;;0.052;Euronext Milan;0;00000115702;ASSICURAZIONI GENERALI SOCIETA  PER AZIONI;1;;;0;214;1
AF 00000062072;XXITD0008181;GENERALI ES15;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20160523;20210525;1;0;;;0;-1.67;1;PRIVATO - ENTE FINANZIARIO;ASSICURAZIONI GENERALI SOCIETA  PER AZIO;0002989;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000115702;ASSICURAZIONI GENERALI SOCIETA  PER AZIONI;1;;;0;;1
AF 00000062320;IT0000062320;FIRS;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;FIRS ITALIANA DI ASSICURAZIONI - COMPAGN;0003243;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010870;FIRS ITALIANA DI ASSICURAZIONI - COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI -;1;;;0;214;1
AF 00000062330;IT0000062338;FIRS RISPORT NC;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;FIRS ITALIANA DI ASSICURAZIONI - COMPAGN;0003243;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010870;FIRS ITALIANA DI ASSICURAZIONI - COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI -;1;;;0;214;1
AF 00000062540;IT0000062544;FINCOMID;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;AGRIFOLIO S.R.L. IN LIQUIDAZIONE;0006300;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000012173;AGRIFOLIO S.R.L. IN LIQUIDAZIONE;1;;;0;214;1
AF 00000062780;IT0000062783;LLOYD   ADRIATICO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;LLOYD ADRIATICO HOLDING S.P.A.;0000650;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000115649;ALLIANZ SE;1;;;0;214;1
AF 00000062781;XXITD0009585;LLOYD 62780 ES15;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20160520;20210526;1;0;;;0;-1.67;1;ALTRO;LLOYD ADRIATICO HOLDING S.P.A.;0000650;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000115649;ALLIANZ SE;1;;;0;;1
AF 00000062782;XXITD0013355;LLOYD 62780 ES17;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20171113;20221104;1;0;;;0;-0.23;1;ALTRO;LLOYD ADRIATICO HOLDING S.P.A.;0000650;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000115649;ALLIANZ SE;1;;;0;;1
AF 00000062784;IT0000062783;LLOYD ADRIATICO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;LLOYD ADRIATICO HOLDING S.P.A.;0000650;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000115649;ALLIANZ SE;1;;;0;214;1
AF 00000062820;IT0000062825;RAS HOLDING;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;ALLIANZ SOCIETA PER AZIONI IN FORMA ABB;0000470;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000115649;ALLIANZ SE;1;;;0;214;1
AF 00000062880;IT0000062882;ASS. VITTORIA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;VITTORIA ASSICURAZIONI SPA;0000492;EUR;1;0;1;1;0;;;;11;Euronext Milan;0;00042014749;Yafa SpA;1;;;0;214;1
AF 00000062881;XXITD0008405;VITTORIA 62880 ES15;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20160513;20210504;1;0;;;0;-1.73;1;PRIVATO - ENTE FINANZIARIO;VITTORIA ASSICURAZIONI SPA;0000492;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00042014749;Yafa SpA;1;;;0;;1
AF 00000062882;XXITD0011425;VITTORIA 62880 ES16;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20170508;20220510;1;0;;;0;-0.71;1;PRIVATO - ENTE FINANZIARIO;VITTORIA ASSICURAZIONI SPA;0000492;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00042014749;Yafa SpA;1;;;0;;1
AF 00000062930;IT0000062932;SAI RISPOR NC;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;UNIPOLSAI ASSICURAZIONI S.P.A.;0001924;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000118130;UNIPOL GRUPPO S.P.A.;1;;;0;214;1
AF 00000062950;IT0000062957;MEDIOBANCA FRAZ;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ISTITUZIONE CREDITIZIA;MEDIOBANCA BANCA DI CREDITO FINANZIARIO;0009049;EUR;1;0;1;1;0;;;;0.057;Euronext Milan;0;00000115667;MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA  PER AZIONI;1;;;0;214;1
AF 00000062952;XXITD0010278;MEDIOBCA 62950 15/16;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20161115;20211123;1;0;;;0;-1.17;1;ISTITUZIONE CREDITIZIA;MEDIOBANCA BANCA DI CREDITO FINANZIARIO;0009049;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000115667;MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA  PER AZIONI;1;;;0;;1
AF 00000062953;XXITD0013298;MEDIOBCA 62950ES2017;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20171116;20221122;1;0;;;0;-0.18;1;ISTITUZIONE CREDITIZIA;MEDIOBANCA BANCA DI CREDITO FINANZIARIO;0009049;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000115667;MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA  PER AZIONI;1;;;0;;1
AF 00000063210;IT0000063211;CENTRO RICERCA E AMB;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;CENTRO DI RICERCA ENERGIA E AMBIENTE (C.;0017696;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000411515;CENTRO DI RICERCA ENERGIA E AMBIENTE (C.R.E.A.) - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA;1;;;0;214;1
AF 00000063270;IT0004822398;AGRIFORM AOR  SOVV.;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;AGRIFORM - SOCIETA  COOPERATIVA AGRICOLA;0018677;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00021260470;AGRIFORM - SOCIETA  COOPERATIVA AGRICOLA, PIU  BREVEMENTE AGRIFORM S.C.A.;1;;;0;214;1
AF 00000063290;BMPS00154066;INIZIATIVE IMM.NUOVE;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;INIZIATIVE IMMOBILIARI SRL IN LIQUIDAZIO;0018752;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000412318;INIZIATIVE IMMOBILIARI SRL IN LIQUIDAZIONE;1;;;0;214;1
AF 00000063410;BMPS00237185;SPF SRL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;SPF STUDIO PROGETTI FINANZIARI S.R.L.;0025122;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000417907;SPF STUDIO PROGETTI FINANZIARI S.R.L.;1;;;0;214;1
AF 00000063430;BMPS00250994;NEWCOLLE SRL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;NEWCOLLE - S.R.L.;0026980;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000420422;NEWCOLLE - S.R.L.;1;;;0;214;1
AF 00000063450;BMPS00518008;GAL COLLINE MOREN;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;GAL COLLINE MORENICHE DEL GARDA SOCIETA;0039931;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000438034;GAL COLLINE MORENICHE DEL GARDA SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA;1;;;0;214;1
AF 00000063470;BMPS00524552;AIACE REOCO SRL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;AIACE REOCO S.R.L.;0040291;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000438412;AIACE REOCO S.R.L.;1;;;0;214;1
AF 00000064050;IT0000064052;BNA RISP PORT NC;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;BANCA MONTE DEI PASCHI DI SIENA S.P.A.;0000012;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;0;214;1
AF 00000064481;XXITD0009924;BCAPOPMI64480ES15;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20160513;20990525;1;0;;;0;76.33;4;ISTITUZIONE CREDITIZIA;BANCO BPM SOCIETA  PER AZIONI;0029601;EUR;1;0;1;1;0;;;;11;NON QUOTATO;0;00052113849;BANCO BPM SOCIETA  PER AZIONI;1;;;0;;1
AF 00000064512;XXITD0008199;CRED.VALT. ES15;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20160523;20210525;1;0;;;0;-1.67;1;ISTITUZIONE CREDITIZIA;BANCA PICCOLO CREDITO VALTELLINESE S.P.A;0008912;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000008912;BANCA PICCOLO CREDITO VALTELLINESE S.P.A;1;;;;;1
AF 00000064850;IT0000064854;UNICREDIT;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;UNICREDIT, SOCIETA  PER AZIONI IN FORMA;0011053;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000115657;UNICREDIT, SOCIETA  PER AZIONI IN FORMA ABBREVIATA UNICREDIT S.P.A.;1;;;0;214;1
AF 00000064930;IT0000064938;INTERBANCA PRIV;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;Interbanca SpA;0000028;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00019622197;La Scogliera SpA;1;;;0;214;1
AF 00000064940;IT0000064946;GE CAPITAL SPA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;BANCA IFIS S.P.A.;0000299;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00019622197;La Scogliera SpA;1;;;0;214;1
AF 00000065520;BMPS00018892;BANCA POP GOLFO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;EMITTENTE TITOLI ITALIA;0006204;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00007263738;LKQ CORP;1;;;0;214;1
AF 00000065890;IT0000000304;BCA POP R.CALABRIA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;EMITTENTE TITOLI ITALIA;0006204;ITL;1;0;1;1;0;;;;11;NON QUOTATO;0;00007263738;LKQ CORP;1;;;0;214;1
AF 00000066010;IT0000066016;MONRIF S.P.A.;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;MONRIF S.P.A.;0003079;EUR;1;0;1;1;0;;;;11;Euronext Milan;0;00020201824;Monti Riffeser Srl;1;;;0;214;1
AF 00000066120;IT0000066123;BPER BANCA AOR;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ISTITUZIONE CREDITIZIA;BPER BANCA S.P.A.;0008965;EUR;1;0;1;1;0;;;;0.075;Euronext Milan;0;00000128038;BPER BANCA S.P.A.;1;;;0;214;1
AF 00000066122;BMPS00861487;B.POP.EMIL RECESSO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;BPER BANCA S.P.A.;0008965;EUR;1;0;1;1;0;;;;11;Euronext Milan;0;00000008965;BPER BANCA S.P.A.;1;;;;214;1
AF 00000066180;IT0000066180;BRIOSCHI;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;BRIOSCHI SVILUPPO IMMOBILIARE S.P.A.;0000880;EUR;1;0;1;1;0;;;;11;Euronext Milan;0;00000128047;BASTOGI S.P.A.;1;;;0;214;1
AF 00000066210;IT0000066214;CART DONZELLI NUOVE;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;C.R.D.M. - CARTIERE RIUNITE DONZELLI E M;0001146;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010186;C.R.D.M. - CARTIERE RIUNITE DONZELLI E MERIDIONALI S.P.A.;1;;;0;214;1
AF 00000066250;IT0000066255;CART ITALIANE;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;CARTIERE ITALIANE RIUNITE S.P.A.;0014099;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00008706746;CARTIERE ITALIANE RIUNITE S.P.A.;1;;;0;214;1
AF 00000066400;IT0000066404;CEAT;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;CEAT PNEUMATICI S.P.A.;0001116;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010043;CEAT PNEUMATICI S.P.A.;1;;;0;214;1
AF 00000066500;IT0000066503;COOP.FARMACEUT.;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;SOCIETA  COOPERATIVA FARMACEUTICA IN SIG;0005501;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000011934;SOCIETA  COOPERATIVA FARMACEUTICA IN SIGLA  CO.FA. FARMACEUTICI;1;;;0;214;1
AF 00000066960;IT0000066966;BOERO BARTOLOMEO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;BOERO BARTOLOMEO - SOCIETA  PER AZIONI;0000331;EUR;1;0;1;1;0;;;;11;NON QUOTATO;0;00000128049;BOERO BARTOLOMEO - SOCIETA  PER AZIONI;1;;;0;214;1
AF 00000067070;IT0000067071;CRAM;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;CHIANTIBANCA - CREDITO COOPERATIVO - S.C;0001160;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00029086108;CHIANTIBANCA - CREDITO COOPERATIVO - S.C.;1;;;0;214;1
AF 00000067110;IT0000067113;SIENA MORTGAGES10 7;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;SIENA MORTGAGES 10-7 S.R.L.;0015298;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00007038576;Siena Mortgages;1;;;0;214;1
