CODICE_INTERNO;ISIN;DESCRIZIONE;CODICE_ENTITA;DESCRIZIONE_ENTITA;CODICE_GRUPPO;DESCRIZIONE_GRUPPO;CODICE_SOTTOGRUPPO;DESCRIZIONE_SOTTOGRUPPO;CODICE_FAMIGLIA_PRODOTTO;DESCRIZIONE_FAMIGLIA_PRODOTTO;CODICE_LIVELLO_COMPLESSITA;DESCR_LIVELLO_COMPLESSITA;DATA_EMISSIONE;DATA_SCADENZA;ILLIQUIDO;OFFERTA_ATTIVA;OMD_PUNTUALE;OMD_CLASSE;COSTO_STRUMENTO;HP_PUNTUALE;HP_CLASSE;TIPO_EMITTENTE;NOME_EMITTENTE;CODICE_EMITTENTE;DIVISA;QUOTATO;FLAG_TITOLO_MLR;PERIMETRO_PTF;STRUMENTO_MIFID;FIDT;CODICE_TIPO;DATA_INIZIO_EMISSIONE;DATA_FINE_EMISSIONE;LIQUIDABILITA;DS_MERCATO;IN_POSIZIONE;CODICE_PARENT_COMPANY;DESCRIZIONE_PARENT_COMPANY;FLAG_CONTROLLO_EMITTENTE;QUALITA_PRODOTTO;TIPOLOGIA_POLIZZA;PRODOTTO_CEDOLA;CODRAGGRUPPAMENTO;IS_ESG
AF 00000072170;IT0000072170;FINECOBANK ORD;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ISTITUZIONE CREDITIZIA;FINECOBANK BANCA FINECO S.P.A. O IN FORM;0016345;EUR;1;0;1;1;0;;;;0.074;Euronext Milan;0;00009475473;FINECOBANK BANCA FINECO S.P.A. O IN FORMA ABBREVIATA FINECOBANK S .P.A., OVVERO;1;;;0;214;1
AF 00000072312;IT0000723129;FINANCE - IST IT FIN;2;AZIONI E DIRITTI;1;AZIONI ITALIANE;1;ORDINARIE;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;PHOENIX ITALIA S.P.A.;0001724;ITL;0;0;0;1;0;;;;11;NON QUOTATO;0;00000010135;PHOENIX ITALIA S.P.A.;1;;;0;214;1
AF 00000072380;BMPS00001053;**GENERALFIN;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;GENERALFIN S.P.A.;0000304;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010185;GENERALFIN S.P.A.;1;;;0;214;1
AF 00000072500;IT0000072501;IFIL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;EXOR NV;0047884;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00051987094;Giovanni Agnelli BV;1;;;0;214;1
AF 00000072520;IT0000072527;IFI PRIV;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;EXOR NV;0047884;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00051987094;Giovanni Agnelli BV;1;;;0;214;1
AF 00000072580;IT0000072584;IFIL RISPORT NC;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;EXOR NV;0047884;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00051987094;Giovanni Agnelli BV;1;;;0;214;1
AF 00000072610;IT0000072618;INTESA SANPAOLO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ISTITUZIONE CREDITIZIA;INTESA SANPAOLO SPA;0001057;EUR;1;0;1;1;0;;;;0.038;Euronext Milan;0;00000128042;INTESA SANPAOLO SPA;1;;;0;214;1
AF 00000072612;IT0000072618;INTESA SANPAOLO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;INTESA SANPAOLO SPA;0001057;EUR;1;0;1;1;0;;;;11;XETRA;0;00000128042;INTESA SANPAOLO SPA;1;;;0;215;1
AF 00000072613;XXITD0009759;INT.S.PAOLO72610ES15;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20160523;20210525;1;0;;;0;-1.67;1;ISTITUZIONE CREDITIZIA;INTESA SANPAOLO SPA;0001057;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000128042;INTESA SANPAOLO SPA;1;;;0;;1
AF 00000072614;XXITD0012654;INT.S.PAOLO72610ES16;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20170512;20220524;1;0;;;0;-0.68;1;ISTITUZIONE CREDITIZIA;INTESA SANPAOLO SPA;0001057;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000128042;INTESA SANPAOLO SPA;1;;;0;;1
AF 00000072621;XXITD0009767;INT.S.PAOLO72620ES15;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20160523;20210525;1;0;;;0;-1.67;1;ISTITUZIONE CREDITIZIA;INTESA SANPAOLO SPA;0001057;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000128042;INTESA SANPAOLO SPA;1;;;0;;1
AF 00000072624;XXITD0012670;INT.S.PAOLO72620ES16;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;20170512;20220524;1;0;;;0;-0.68;1;ISTITUZIONE CREDITIZIA;INTESA SANPAOLO SPA;0001057;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000128042;INTESA SANPAOLO SPA;1;;;0;;1
AF 00000073290;IT0000848769;PARFIN;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;PAR.FIN SOCIETA  DI PARTECIPAZIONI E SER;0003195;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010821;PAR.FIN SOCIETA  DI PARTECIPAZIONI E SERVIZI FINANZIARI SOCIETA  PER AZIONI;1;;;0;214;1
AF 00000073580;IT0000073582;SIT-FIN.SVILUPPO INN;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;S.I.T. - SVILUPPO IMPRESE E TERRITORIO S;0015468;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00078886982;S.I.T. - SVILUPPO IMPRESE E TERRITORIO S.P.A.;1;;;0;214;1
AF 00000073610;IT0004308505;SORGENIA SPA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;SORGENIA S.P.A.;0016796;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00012162016;NUOVA SORGENIA HOLDING S.P.A. IN LIQUIDAZIONE;1;;;0;214;1
AF 00000073620;BMPS00339839;MERC.AGRIC.ALIMENT.B;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;MERCATO AGRICOLO - ALIMENTARE - BARI - S;0030168;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000428526;MERCATO AGRICOLO - ALIMENTARE - BARI - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA IN SIGLA M.A.A.B. S.C.R.L.;1;;;0;214;1
AF 00000074070;IT0000074077;BANCA INTERMOBILIARE;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ISTITUZIONE CREDITIZIA;BANCA INVESTIS S.P.A.;0009075;EUR;1;0;1;1;0;;;;11;Euronext Milan;0;00033528365;Attestor Capital LLP;1;;;0;214;1
AF 00000074330;IT0000074333;**IMM.SOGENE 2000;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;SOCIETA GENERALE IMMOBILIARE SOGENE - S;0007527;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010735;SOCIETA' GENERALE IMMOBILIARE SOGENE - SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO IN LIQUIDAZIONE;1;;;0;214;1
AF 00000074360;IT0000074366;ELIOS HOLDING MILAN;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;MET.EXTRA GROUP S.P.A.;0000158;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000128054;MET.EXTRA GROUP S.P.A.;1;;;0;214;1
AF 00000074420;IT0000074424;IMM. FIERA DI BERGAM;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;IMMOBILIARE DELLA FIERA - SOCIETA  PER A;0014156;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00078957985;IMMOBILIARE DELLA FIERA - SOCIETA  PER AZIONI;1;;;0;214;1
AF 00000074630;IT0000074630;LA GAIANA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;GABETTI PROPERTY SOLUTIONS S.P.A.;0000214;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000128116;GABETTI PROPERTY SOLUTIONS S.P.A.;1;;;0;214;1
AF 00000074901;IT0000074903;SNAI INTEGR CORRISP;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;SNAITECH S.P.A.;0004189;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00021292001;GLOBAL GAMES S.R.L.;1;;;0;214;1
AF 00000074960;IT0000074960;DEL FAVERO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;DEL FAVERO S.P.A. - IN LIQUIDAZIONE;0005498;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000011582;DEL FAVERO S.P.A. - IN LIQUIDAZIONE;1;;;0;214;1
AF 00000074961;IT0000074960;DEL FAVERO SPA IN LI;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;DEL FAVERO S.P.A. - IN LIQUIDAZIONE;0005498;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000011582;DEL FAVERO S.P.A. - IN LIQUIDAZIONE;1;;;0;214;1
AF 00000075050;BMPS00017181;**MONTEFIBRE 70;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;MONTEFIBRE S.P.A. - IN LIQUIDAZIONE;0002079;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000128152;MONTEFIBRE S.P.A. - IN LIQUIDAZIONE;1;;;0;214;1
